i_index,alpha_i,phi_A,phi_B,phi_C,phi_D,phi_E,total_CS_change_per_trip,CS_toll_per_trip,CS_other_per_trip,trips_23,trips_25,trip_weight,phi_A_weighted,phi_B_weighted,phi_C_weighted,phi_D_weighted,phi_E_weighted,total_CS_change,CS_toll,CS_other,direct_CS_change_per_trip,direct_CS_change,decomposition_error,origin_county,Pop_group,Trip_purpose,Time_period,Trip_num,origin_region
25,0.0422950629615494,-0.0005449958876660909,0.012147960274308344,0.0019075754951834924,0.0,0.0,0.013510539881825746,0.0013625796075174014,0.012147960274308344,2580.391752413086,2585.259751840352,2582.8257521267187,-1.4076294134671399,31.37606463229595,4.9269351130858015,0.0,0.0,34.89537033191461,3.519305699618662,31.37606463229595,0.013510539881828371,34.89537033192139,-6.778577699151356e-12,09005,Senior,Commute,Overnight,2579,CTS & PAS
26,0.0480594277087352,-0.00326463177017267,0.02243688953034937,-0.0016629482507465473,0.0,0.0,0.017509309509430155,-0.004927580020919217,0.02243688953034937,23202.951493833374,23202.266670632474,23202.609082232924,-75.74797476075454,520.5943767939411,-38.58473818605519,0.0,0.0,406.26166384713144,-114.33271294680972,520.5943767939411,0.01750930950943015,406.26166384713133,1.1368683772161603e-13,09005,Senior,Commute,Peak,23191,CTS & PAS
27,0.0395937767091697,-0.00021746314770263578,0.011984847925145136,-0.001421019803047726,0.0,0.0,0.010346364974394773,-0.0016384829507503616,0.011984847925145136,8258.213702127134,8264.004469775013,8261.109085951073,-1.7964867853457647,99.00813608815835,-11.739199606273973,0.0,0.0,85.4724496965386,-13.535686391619738,99.00813608815835,0.010346364974394775,85.47244969653862,-1.4210854715202004e-14,09005,Senior,Other,Overnight,8257,CTS & PAS
28,0.0442705807156651,-0.0002205550040467632,0.014303567679224784,-0.0003168252723961295,0.0,0.0,0.01376618740278189,-0.0005373802764428927,0.014303567679224784,44015.406360632376,44015.58276473004,44015.49456268121,-9.707837581392438,629.5786054118612,-13.945221054471832,0.0,0.0,605.9255467759968,-23.65305863586427,629.5786054118612,0.013766187402781894,605.9255467759971,-2.2737367544323206e-13,09005,Senior,Other,Peak,44014,CTS & PAS
29,0.0533403201707324,-0.0006507933787614324,0.023285646131875438,-0.003269474429006868,0.0,0.0,0.01936537832410714,-0.0039202678077683,0.023285646131875438,1162.5217559422535,1164.8730853947955,1163.6974206685245,-0.757326576252833,27.097446342263453,-3.804678959976989,0.0,0.0,22.53544080603363,-4.5620055362298215,27.097446342263453,0.0193653783241113,22.535440806038473,-4.842348744205083e-12,09005,Student,Commute,Overnight,1162,CTS & PAS
30,0.077796230066411,-4.273869042329456e-05,0.008427403462038567,3.698546694786318e-05,0.0,0.0,0.008421650238563136,-5.753223475431381e-06,0.008427403462038567,61640.10080867404,61640.934233354885,61640.517521014466,-2.6344349958623017,519.4695107584463,2.279803323422662,0.0,0.0,519.1148790860066,-0.3546316724396398,519.4695107584463,0.008421650238563136,519.1148790860066,0.0,09005,Student,Commute,Peak,61632,CTS & PAS
31,0.0381207077940872,-0.0002713221128331287,0.017343008831943233,-0.0018935551290748932,0.0,0.0,0.015178131590035211,-0.0021648772419080218,0.017343008831943233,4012.794701677968,4016.890944263363,4014.8428229706656,-1.0893156374213238,69.62945453764415,-7.602326219865628,0.0,0.0,60.937812680357204,-8.691641857286951,69.62945453764415,0.015178131590035211,60.937812680357204,0.0,09005,Student,Other,Overnight,4012,CTS & PAS
32,0.04696758856458891,-0.00042609278031048684,0.013907403216693842,-0.0005839266418364355,0.0,0.0,0.01289738379454692,-0.0010100194221469223,0.013907403216693842,24603.79179195438,24604.068596394136,24603.93019417426,-10.483557023000847,342.17677792576984,-14.366890334262253,0.0,0.0,317.32633056850676,-24.8504473572631,342.17677792576984,0.01289738379454692,317.32633056850676,0.0,09005,Student,Other,Peak,24599,CTS & PAS
33,0.054662282421105,-0.00010200565449802461,0.015910057380220277,-0.00031049328127482777,0.0,0.0,0.015497558444447425,-0.0004124989357728524,0.015910057380220277,14014.86130304374,14021.261710886545,14018.061506965143,-1.4299215388115445,223.02816293527255,-4.352513914409964,0.0,0.0,217.24572748205105,-5.782435453221509,223.02816293527255,0.015497558444447421,217.245727482051,5.684341886080802e-14,09009,LowIncome,Commute,Overnight,14014,CTS & PAS
34,0.0459561640305671,-0.00022278649255913084,0.015354052774553451,4.878577794873273e-05,0.0,0.0,0.015180052059943052,-0.00017400071461039812,0.015354052774553451,149311.3260280715,149312.296887175,149311.81145762326,-33.26465477229413,2292.541432984522,7.284292878894656,0.0,0.0,2266.5610710911224,-25.980361893399476,2292.541432984522,0.015180052059943053,2266.561071091123,-4.547473508864641e-13,09009,LowIncome,Commute,Peak,149303,CTS & PAS
35,0.0534696315933919,-0.00010740956214291334,0.010320489910094963,-0.0005020815110244671,0.0,0.0,0.009710998836927583,-0.0006094910731673804,0.010320489910094963,45821.39140615815,45842.07132398702,45831.731365072585,-4.922766198174075,473.0059211154145,-23.01126493664311,0.0,0.0,445.0718899805973,-27.93403113481718,473.0059211154145,0.009710998836927581,445.07188998059723,5.684341886080802e-14,09009,LowIncome,Other,Overnight,45820,CTS & PAS
36,0.0666642693677195,-0.00017767274763540967,0.009432853140069225,-0.000161194604542539,0.0,0.0,0.009093985787891275,-0.00033886735217794866,0.009432853140069225,260047.89322694304,260049.02706729315,260048.46014711808,-46.2035244326958,2452.9989338689097,-41.91840869531091,0.0,0.0,2364.8770007409025,-88.12193312800672,2452.9989338689097,0.009093985787891275,2364.8770007409025,0.0,09009,LowIncome,Other,Peak,260042,CTS & PAS
37,0.0358258339923212,-0.00011144428232111448,0.03312679946364723,0.0002586987036308409,0.0,0.0,0.03327405388495696,0.0001472544213097264,0.03312679946364723,44880.530600660924,44901.167248232974,44890.84892444695,-5.002828441170565,1487.090150073038,11.613204421642354,0.0,0.0,1493.7005260535102,6.61037598047179,1487.090150073038,0.03327405388496316,1493.7005260537885,-2.7830537874251604e-10,09009,NotLowIncome,Commute,Overnight,44874,CTS & PAS
38,0.027684479961765804,-0.0005690059740289258,0.02113079010218479,9.175345716124052e-05,0.0,0.0,0.020653537585317103,-0.00047725251686768527,0.02113079010218479,567306.3560371173,567313.3389522122,567309.8474946648,-322.8026923499031,11987.705310312225,52.05263978925162,0.0,0.0,11716.955257751573,-270.7500525606515,11987.705310312225,0.0206535375853171,11716.955257751571,1.8189894035458565e-12,09009,NotLowIncome,Commute,Peak,567217,CTS & PAS
39,0.0316658257335616,-0.00019970839345625067,0.014299422433926111,-0.0015065665393606713,0.0,0.0,0.01259314750110919,-0.001706274932816922,0.014299422433926111,129581.56170344213,129663.12208034033,129622.34189189124,-25.88666965526646,1853.52462358695,-195.28468304789234,0.0,0.0,1632.353270883791,-221.17135270315882,1853.52462358695,0.012593147501109186,1632.3532708837906,4.547473508864641e-13,09009,NotLowIncome,Other,Overnight,129575,CTS & PAS
40,0.020677710617295,-0.0003329832158159854,0.012260648622068267,-0.0006414099266335509,0.0,0.0,0.011286255479618732,-0.0009743931424495364,0.012260648622068267,757121.9356917001,757128.5615056839,757125.248598692,-252.11000005386984,9282.846635964648,-485.6276501560961,0.0,0.0,8545.108985754683,-737.737650209966,9282.846635964648,0.01128625547961873,8545.108985754681,1.8189894035458565e-12,09009,NotLowIncome,Other,Peak,757089,CTS & PAS
41,0.0422950629615494,-0.0002993461223680918,0.016915975552472803,-0.001394792007422227,0.0,0.0,0.015221837422682486,-0.0016941381297903189,0.016915975552472803,11148.856068162473,11161.27882414866,11155.067446155566,-3.3392261847612015,188.6988482053528,-15.558998916153659,0.0,0.0,169.80062310443796,-18.89822510091486,188.6988482053528,0.015221837422682488,169.80062310443796,0.0,09009,Senior,Commute,Overnight,11147,CTS & PAS
42,0.0480594277087352,-0.0008490112734085655,0.017950470114364243,-0.0009473114338599051,0.0,0.0,0.01615414740709577,-0.0017963227072684707,0.017950470114364243,94912.85353183276,94913.51931052032,94913.18642117654,-80.58236526670765,1703.7363163124114,-89.91234672085722,0.0,0.0,1533.2416043248465,-170.4947119875649,1703.7363163124114,0.016154147407091153,1533.2416043244082,4.383764462545514e-10,09009,Senior,Commute,Peak,94898,CTS & PAS
43,0.0395937767091697,-0.00014465347077238666,0.01348448108100293,-0.0007445691159855179,0.0,0.0,0.012595258494245025,-0.0008892225867579046,0.01348448108100293,34777.837762767966,34794.90783827756,34786.37280052276,-5.031969561177766,469.07618590536407,-25.900858844427898,0.0,0.0,438.1433574997584,-30.93282840560566,469.07618590536407,0.012595258494245027,438.14335749975845,-5.684341886080802e-14,09009,Senior,Other,Overnight,34776,CTS & PAS
44,0.0442705807156651,-0.00033555110990257273,0.012366697826220536,-0.0004758529496321957,0.0,0.0,0.011555293766685766,-0.0008114040595347684,0.012366697826220536,179217.1138490664,179217.49509736273,179217.30447321455,-60.13656542973445,2216.3262496500065,-85.28108295871044,0.0,0.0,2070.908601261561,-145.4176483884449,2216.3262496500065,0.011555293766685768,2070.9086012615617,-4.547473508864641e-13,09009,Senior,Other,Peak,179215,CTS & PAS
45,0.0533403201707324,-8.961369093627634e-05,0.017571311158291247,-0.0001385504299955065,0.0,0.0,0.017343147037359466,-0.00022816412093178284,0.017571311158291247,11585.550111804165,11590.039326787652,11587.794719295907,-1.0384250546079985,203.61274665115258,-1.6054939410581075,0.0,0.0,200.96882765548648,-2.6439189956661058,203.61274665115258,0.01734314703735947,200.9688276554865,-2.842170943040401e-14,09009,Student,Commute,Overnight,11585,CTS & PAS
46,0.077796230066411,-2.7612876822505498e-05,0.0053958615764238705,4.316652264505841e-06,0.0,0.0,0.005372565351865871,-2.329622455799966e-05,0.0053958615764238705,369000.94624742947,369001.77362502384,369001.3599362266,-10.18918909925604,1991.08025972804,1.5928505559744475,0.0,0.0,1982.4839211847582,-8.596338543281593,1991.08025972804,0.005372565351865872,1982.4839211847586,-4.547473508864641e-13,09009,Student,Commute,Peak,368999,CTS & PAS
47,0.0381207077940872,-0.00012639902575281356,0.013257101726433164,-0.0007752478209966358,0.0,0.0,0.012355454879683715,-0.0009016468467494493,0.013257101726433164,29466.77020112196,29478.22756386823,29472.498882495092,-3.725295145248266,390.7199158174252,-22.8484905379801,0.0,0.0,364.1461301341968,-26.57378568322837,390.7199158174252,0.012355454879683717,364.1461301341969,-5.684341886080802e-14,09009,Student,Other,Overnight,29466,CTS & PAS
48,0.0469675885645889,-0.00019121034078503158,0.01024470294680912,-0.0001771401803440919,0.0,0.0,0.009876352425679998,-0.0003683505211291235,0.01024470294680912,174047.06566562128,174047.91662028784,174047.49114295456,-33.279680094224105,1783.064845396961,-30.83080396949971,0.0,0.0,1718.9543613332373,-64.11048406372382,1783.064845396961,0.009876352425679996,1718.9543613332369,4.547473508864641e-13,09009,Student,Other,Peak,174044,CTS & PAS
49,0.054662282421105,-0.00104194551404727,-0.021825406845542857,-0.0022750399456217553,0.0,0.0,-0.02514239230521188,-0.0033169854596690257,-0.021825406845542857,12960.423848909833,13034.297374864454,12997.360611887143,-13.54254158401049,-283.6726832726707,-29.569514579694072,0.0,0.0,-326.7847394363753,-43.112056163704565,-283.6726832726707,-0.02514239230521188,-326.7847394363753,0.0,34003,LowIncome,Commute,Overnight,12960,NJS
50,0.0459561640305671,-0.008918306140759748,0.154264221551776,0.009440591860507126,0.0,0.0,0.15478650727152338,0.0005222857197473771,0.154264221551776,143434.43807968916,143435.0338002686,143434.73593997888,-1279.1948863317666,22126.84788326539,1354.1088006289535,0.0,0.0,22201.761797562576,74.91391429718685,22126.84788326539,0.15478650727152335,22201.761797562573,3.637978807091713e-12,34003,LowIncome,Commute,Peak,143433,NJS
51,0.053469631593391895,-0.0010720722361430473,-0.003980121702132053,-0.00490807366290375,0.0,0.0,-0.00996026760117885,-0.005980145899046797,-0.003980121702132053,42447.132509982446,42644.52689543005,42545.82970270625,-45.61220278794157,-169.33758013495566,-208.81806623024062,0.0,0.0,-423.76784915313783,-254.4302690181822,-169.33758013495566,-0.00996026760117885,-423.76784915313783,0.0,34003,LowIncome,Other,Overnight,42446,NJS
52,0.0666642693677195,-0.0073478879428286025,-0.015396961099536775,-0.006215525149242439,0.0,0.0,-0.028960374191607817,-0.013563413092071042,-0.015396961099536775,228179.80641690732,228178.96477783416,228179.38559737074,-1676.636556232959,-3513.2691237589192,-1418.254709719146,0.0,0.0,-6608.160389711024,-3094.8912659521047,-3513.2691237589192,-0.028960374191607817,-6608.160389711024,0.0,34003,LowIncome,Other,Peak,228178,NJS
53,0.0358258339923212,0.005774753258164352,0.044787619404975706,0.004165253593072086,0.0,0.0,0.05472762625621214,0.009940006851236438,0.044787619404975706,53191.50160078027,53701.50193117183,53446.50176597605,308.640360210557,2393.7415796218975,222.61823351786532,0.0,0.0,2925.0001733503195,531.2585937284223,2393.7415796218975,0.05472762625621216,2925.0001733503204,-9.094947017729282e-13,34003,NotLowIncome,Commute,Overnight,53190,NJS
54,0.0276844799617658,0.047638714760752196,-0.12583725858599948,-0.06513200390750917,0.0,0.0,-0.14333054773275644,-0.017493289146756977,-0.12583725858599948,688041.6725432687,688042.296421462,688041.9844823653,32777.43584217729,-86581.31711933164,-44813.553221835784,0.0,0.0,-98617.43449899013,-12036.117379658494,-86581.31711933164,-0.14333054773275644,-98617.43449899013,0.0,34003,NotLowIncome,Commute,Peak,688037,NJS
55,0.0316658257335616,-0.0030697379372204613,0.013928706135890825,-0.019194837785196924,0.0,0.0,-0.00833586958652656,-0.022264575722417385,0.013928706135890825,177283.51070405828,179043.2358734386,178163.37328874844,-546.9148660076416,2481.585270717998,-3419.8170495410127,0.0,0.0,-1485.1466448306564,-3966.7319155486543,2481.585270717998,-0.008335869586526563,-1485.1466448306571,6.821210263296962e-13,34003,NotLowIncome,Other,Overnight,177279,NJS
56,0.020677710617295,-0.023961641346975864,-0.09707611847821834,-0.04224288093352991,0.0,0.0,-0.16328064075872412,-0.06620452228050577,-0.09707611847821834,983616.2965497483,983612.2855483278,983614.2910490381,-23569.012865876983,-95485.45745474516,-41550.70138130295,0.0,0.0,-160605.17170192508,-65119.71424717993,-95485.45745474516,-0.16328064075872412,-160605.17170192508,0.0,34003,NotLowIncome,Other,Peak,983610,NJS
57,0.0422950629615494,-0.002388398003149264,-0.006403594626804037,-0.008494755030051333,0.0,0.0,-0.017286747660004632,-0.010883153033200596,-0.006403594626804037,13777.437639244023,13927.269698642689,13852.353668943357,-33.084933841821695,-88.70485752303486,-117.67235100730662,0.0,0.0,-239.46214237216316,-150.7572848491283,-88.70485752303486,-0.01728674766000988,-239.46214237223586,7.270273272297345e-11,34003,Senior,Commute,Overnight,13776,NJS
58,0.0480594277087352,-0.014052617284566303,-0.07089310386776834,-0.00045430910499563644,0.0,0.0,-0.08540003025733028,-0.01450692638956194,-0.07089310386776834,121999.59570818153,121998.04404484708,121998.8198765143,-1714.402724893396,-8648.875009250889,-55.42517466862307,0.0,0.0,-10418.70290881291,-1769.827899562019,-8648.875009250889,-0.08540003025733027,-10418.702908812907,-1.8189894035458565e-12,34003,Senior,Commute,Peak,121997,NJS
59,0.0395937767091697,-0.001562506066327822,0.00326879878926522,-0.008238983035839758,0.0,0.0,-0.006532690312902361,-0.00980148910216758,0.00326879878926522,42766.93940979209,43006.82479193495,42886.88210086352,-67.01101344848534,140.1885882866629,-353.3442940890743,0.0,0.0,-280.1667192508968,-420.35530753755967,140.1885882866629,-0.006532690312902363,-280.16671925089685,5.684341886080802e-14,34003,Senior,Other,Overnight,42766,NJS
60,0.0442705807156651,-0.008756029100980528,0.011659104473375922,-0.011151420758190717,0.0,0.0,-0.008248345385795323,-0.019907449859171245,0.011659104473375922,210271.55803185378,210271.3290938973,210271.44356287556,-1841.1428789417232,2451.576728267135,-2344.8253406017784,0.0,0.0,-1734.3914912763664,-4185.968219543502,2451.576728267135,-0.008248345385795325,-1734.3914912763667,2.2737367544323206e-13,34003,Senior,Other,Peak,210271,NJS
61,0.05334032017073239,-0.001357741107135439,-0.008733948597827407,-0.0018059408481671726,0.0,0.0,-0.011897630553130019,-0.0031636819553026115,-0.008733948597827407,9063.339391272239,9128.226541053606,9095.782966162922,-12.349718434741712,-79.44210088346107,-16.42644600465679,0.0,0.0,-108.21826532285957,-28.7761644393985,-79.44210088346107,-0.011897630553130019,-108.21826532285957,0.0,34003,Student,Commute,Overnight,9063,NJS
62,0.077796230066411,-0.002561832577637,0.014626517513446253,0.002544900205681701,0.0,0.0,0.014609585141490952,-1.693237195529891e-05,0.014626517513446253,410262.62785677647,410262.6327249721,410262.6302908743,-1051.024171666206,6000.713547061998,1044.0774522107615,0.0,0.0,5993.766827606552,-6.946719455444365,6000.713547061998,0.014609585141488099,5993.766827605382,1.1705196811817586e-09,34003,Student,Commute,Peak,410262,NJS
