origin_county,Pop_group,Trip_purpose,Time_period,destination_county,origin_region,destination_region,mode,Trip_num,auto_tt,transit_ivt,transit_at,transit_et,transit_nt,non_auto_tt,cost,constant_driving,constant_transit,constant_ondemand,constant_biking,constant_walking,constant_carpool,market_id,alternative_id,All_trips,Trip_0,share,share_0,log_s_s0,log_s_s(mode),log_s_s(region),log_s_s(county),iv_auto_tt,iv_transit_ivt,iv_nonauto_tt,County_09001,County_09005,County_09009,County_34003,County_34013,County_34017,County_34019,County_34021,County_34023,County_34025,County_34027,County_34029,County_34031,County_34035,County_34037,County_34039,County_36005,County_36027,County_36047,County_36059,County_36061-0,County_36061-1,County_36071,County_36079,County_36081,County_36085,County_36087,County_36103,County_36111,County_36119,County_42103,OTP_transit_at,OTP_transit_et,OTP_transit_wt,OTP_transit_ivt,OTP_transit_nt,OTP_transit_cost,cost_new,transit_wt,From_NYC,To_NYC,Is_NYC,F_T_NYC,cost_new_NYC,auto_tt_NYC,transit_at_NYC,transit_et_NYC,transit_wt_NYC,transit_ivt_NYC,non_auto_tt_NYC
9001,LowIncome,Commute,Overnight,9009,CTS,CTS,ondemand,4,37.25,0,0,0,0,0,93.34565728,0,0,1,0,0,0,1,16,15924,144,0.000251193,0.009042954,-3.583518938,-3.188416617,-8.168132046,-5.617679776,71.03812072,114.309653,71.04756544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.34565728,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,9009,CTS,CTS,transit,46,0,95.75265615,13.24837769,8.803313989,1.4375,0,2.9,0,1,0,0,0,0,1,17,15924,144,0.002888721,0.009042954,-1.141171903,-2.708050201,-5.725785011,-3.17533274,71.23721828,114.3348458,71.23721828,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24837769,8.803313989,17.13318805,95.75265615,1.4375,0,1.5,17.13318805,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,9009,CTS,CTS,walking,4,0,0,0,0,0,44.25,0,0,0,0,0,1,0,1,18,15924,144,0.000251193,0.009042954,-3.583518938,-6.156978986,-8.168132046,-5.617679776,71.04756544,114.309653,71.03634587,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34003,CTS,NJS,carpool,9,66.66666667,0,0,0,0,0,2.377857369,0,0,0,0,0,1,1,20,15924,144,0.000565185,0.009042954,-2.772588722,-6.363028104,-2.456735773,-1.098612289,71.03204568,114.3458935,71.07009019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.377857369,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34003,CTS,NJS,driving,17,66.82352941,0,0,0,0,0,4.755714738,1,0,0,0,0,0,1,21,15924,144,0.001067571,0.009042954,-2.136599956,-6.125069466,-1.820747006,-0.462623522,71.03409202,114.403926,71.10615952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.755714738,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34003,CTS,NJS,transit,1,0,130.4844,21.771,24.7446,2,0,2.9,0,1,0,0,0,0,1,23,15924,144,6.28E-05,0.009042954,-4.9698133,-6.536691598,-4.65396035,-3.295836866,71.03405745,114.2796503,71.03405745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.771,24.7446,25.74246487,130.4844,2,0,4.25,25.74246487,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34013,CTS,NJS,carpool,8,91.75,0,0,0,0,0,3.32463778,0,0,0,0,0,1,1,26,15924,144,0.000502386,0.009042954,-2.890371758,-6.480811139,-2.574518808,-0.810930216,71.01904593,114.3386436,71.0655841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32463778,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34013,CTS,NJS,driving,4,87.75,0,0,0,0,0,6.649275561,1,0,0,0,0,0,1,27,15924,144,0.000251193,0.009042954,-3.583518938,-7.571988449,-3.267665989,-1.504077397,71.02531646,114.309653,71.04756544,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.649275561,0,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34013,CTS,NJS,transit,6,0,121.2694,20.2335,22.9971,1.75,0,2.9,0,1,0,0,0,0,1,29,15924,144,0.00037679,0.009042954,-3.17805383,-4.744932128,-2.862200881,-1.098612289,71.05657363,114.2780189,71.05657363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2335,22.9971,23.92449418,121.2694,1.75,0,4.25,23.92449418,0,0,0,0,0,0,0,0,0,0,0
9001,LowIncome,Commute,Overnight,34017,CTS,NJS,carpool,5,88.2,0,0,0,0,0,2.336796587,0,0,0,0,0,1,1,32,15924,144,0.000313991,0.009042954,-3.360375387,-6.950814768,-3.044522438,-0.693147181,71.02411363,114.3168993,71.05206925,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.336796587,0,0,0,0,0,0,0,0,0,0,0,0
