origin_county,O_CRZ,Pop_group,Trip_purpose,Time_period,Trip_num_Total,Trip_num_inCSA,Trip_num_outsideCSA,Num_Residents
36081,false,Student,Other,Overnight,47655,47397,258,539727
42103,false,Senior,Other,Overnight,3408,3070,338,13962
34021,false,LowIncome,Other,Overnight,21161,20411,750,62973
36047,false,Senior,Other,Overnight,58357,57880,477,407225
09001,false,Student,Commute,Peak,435927,435352,575,251478
36071,false,Student,Other,Peak,82064,81663,401,110478
34027,false,Student,Commute,Peak,219820,218603,1217,125353
36059,false,NotLowIncome,Commute,Peak,973292,972326,966,630882
36071,false,LowIncome,Other,Overnight,25532,25232,300,65592
34029,false,LowIncome,Other,Overnight,29316,28976,340,91103
34037,false,Senior,Other,Peak,32599,32123,476,27550
09009,false,NotLowIncome,Commute,Overnight,46162,44874,1288,355724
36085,false,NotLowIncome,Commute,Overnight,22345,22247,98,213036
42103,false,NotLowIncome,Other,Overnight,10360,9216,1144,23596
34031,false,Student,Commute,Overnight,5234,5218,16,133996
34037,false,Student,Commute,Overnight,1326,1314,12,32162
34039,false,NotLowIncome,Commute,Peak,386677,385638,1039,248668
36079,false,LowIncome,Commute,Peak,9728,9678,50,8508
36111,false,NotLowIncome,Commute,Peak,108885,106719,2166,73461
34029,false,NotLowIncome,Other,Peak,495711,490231,5480,233632
34021,false,Student,Commute,Peak,180167,177647,2520,102532
36103,false,Student,Other,Peak,275717,275472,245,366810
36119,false,LowIncome,Other,Overnight,49446,49208,238,130338
36059,false,Senior,Commute,Overnight,22052,21723,329,261151
42103,false,Student,Other,Peak,5564,4687,877,11063
34037,false,Student,Commute,Peak,52898,52369,529,32162
36047,false,Student,Commute,Peak,826240,825896,344,663789
34031,false,LowIncome,Commute,Overnight,9086,9031,55,100831
36059,false,Student,Other,Peak,245056,244768,288,343273
34039,false,NotLowIncome,Other,Overnight,96834,96119,715,248668
34023,false,Senior,Other,Peak,166187,165046,1141,137999
36103,false,NotLowIncome,Commute,Peak,1089604,1088439,1165,683903
36111,false,LowIncome,Other,Peak,66272,65005,1267,30777
09001,false,NotLowIncome,Other,Peak,956960,953387,3573,417145
36059,false,Senior,Other,Overnight,65876,65565,311,261151
36079,false,LowIncome,Other,Overnight,3796,3770,26,8508
